,0,1,2,3,4,5,6,7,8,9,10,11
0,98,72,57,51,50,43,40,40,69,50,151,83,69,45,57,94,
1,98,98,98,98,75,94,94,94,151,151,151,151,83,83,83,97,
2,151,151,151,151,151,151,152,152,148,151,151,153,98,98,98,98,
3,151,151,151,53,151,151,151,151,153,153,153,153,152,100,152,167,
4,167,167,166,166,153,170,151,153,153,153,153,153,147,151,151,151,
5,170,170,139,147,167,167,167,153,153,153,168,153,153,153,153,148,
6,170,151,170,138,171,49,166,170,167,167,136,166,142,153,153,153,
7,170,167,170,170,167,167,167,170,171,171,171,170,170,170,170,170,
8,171,171,171,171,170,170,170,170,170,114,172,170,171,171,171,171,
9,171,171,173,171,142,171,171,171,171,165,171,171,170,170,170,172,
10,167,150,171,173,171,173,171,171,171,136,171,135,170,172,170,172,
11,171,171,171,173,49,164,114,172,171,116,171,173,114,171,171,135,
12,173,171,171,173,173,173,171,173,173,173,148,173,174,172,170,172,
13,135,173,173,173,167,173,173,173,173,173,173,173,174,174,174,174,
14,49,171,174,174,174,174,174,174,173,173,173,173,174,174,141,174,
15,174,116,174,174,174,174,167,174,100,174,174,174,174,174,174,174,
16,174,174,173,116,138,174,174,174,172,174,174,174,174,174,174,174,
17,174,174,174,174,174,104,174,174,174,69,174,174,167,174,174,172,
18,174,174,174,149,174,174,171,174,174,174,174,174,100,174,114,174,
19,174,174,174,174,174,177,174,173,174,174,174,174,167,174,174,174,
20,173,174,174,174,174,174,174,174,167,174,174,174,171,171,171,152,
21,174,174,116,174,174,175,174,174,172,100,165,166,174,174,174,174,
22,174,174,174,174,69,173,166,175,174,174,98,174,174,174,98,174,
23,174,174,174,49,174,137,174,174,111,165,175,175,174,174,174,174,
24,174,174,174,174,175,172,69,175,174,174,174,174,175,175,175,175,
25,174,176,174,174,175,175,175,175,175,175,175,175,175,166,175,175,
26,172,109,176,176,175,175,175,175,175,175,169,153,172,175,175,175,
27,176,176,176,176,175,174,175,116,176,176,176,175,175,175,175,175,
28,173,176,176,176,176,176,176,176,176,176,173,176,176,176,173,176,
29,176,176,176,176,176,56,176,176,176,176,176,176,171,176,176,176,
30,176,151,176,176,174,173,166,173,176,173,176,176,109,150,175,176,
31,176,176,176,176,176,176,176,176,176,176,176,71,176,140,176,176,
32,176,176,176,176,176,173,176,176,176,176,
